match, date, timezone, group,  team1, team2, location
01, 'Thu Jun/12 17:00', 'UTC-3', 'a', 'bra', 'cro', 'Arena de São Paulo, São Paulo'
02, 'Fri Jun/13 13:00', 'UTC-3', 'a', 'mex', 'cmr', 'Estádio das Dunas, Natal'
03, 'Fri Jun/13 16:00', 'UTC-3', 'b', 'esp', 'ned', 'Arena Fonte Nova, Salvador'
04, 'Fri Jun/13 18:00', 'UTC-4', 'b', 'chi', 'aus', 'Arena Pantanal, Cuiabá'
05, 'Sat Jun/14 13:00', 'UTC-3', 'c', 'col', 'gre', 'Estádio Mineirão, Belo Horizonte'
06, 'Sat Jun/14 22:00', 'UTC-3', 'c', 'civ', 'jpn', 'Arena Pernambuco, Recife'
07, 'Sat Jun/14 16:00', 'UTC-3', 'd', 'uru', 'crc', 'Estádio Castelão, Fortaleza'
08, 'Sat Jun/14 18:00', 'UTC-4', 'd', 'eng', 'ita', 'Arena Amazônia, Manaus'
09, 'Sun Jun/15 13:00', 'UTC-3', 'e', 'sui', 'ecu', 'Estádio Nacional Mané Garrincha, Brasília'
10, 'Sun Jun/15 16:00', 'UTC-3', 'e', 'fra', 'hon', 'Estádio Beira-Rio, Porto Alegre'
11, 'Sun Jun/15 19:00', 'UTC-3', 'f', 'arg', 'bih', 'Estádio do Maracanã, Rio de Janeiro'
12, 'Mon Jun/16 16:00', 'UTC-3', 'f', 'irn', 'nga', 'Arena da Baixada, Curitiba'
13, 'Mon Jun/16 13:00', 'UTC-3', 'g', 'ger', 'por', 'Arena Fonte Nova, Salvador'
14, 'Mon Jun/16 19:00', 'UTC-3', 'g', 'gha', 'usa', 'Estádio das Dunas, Natal'
15, 'Tue Jun/17 13:00', 'UTC-3', 'h', 'bel', 'alg', 'Estádio Mineirão, Belo Horizonte'
16, 'Tue Jun/17 18:00', 'UTC-4', 'h', 'rus', 'kor', 'Arena Pantanal, Cuiabá'
17, 'Tue Jun/17 16:00', 'UTC-3', 'a', 'bra', 'mex', 'Estádio Castelão, Fortaleza'
18, 'Wed Jun/18 18:00', 'UTC-4', 'a', 'cmr', 'cro', 'Arena Amazônia, Manaus'
19, 'Wed Jun/18 16:00', 'UTC-3', 'b', 'esp', 'chi', 'Estádio do Maracanã, Rio de Janeiro'
20, 'Wed Jun/18 13:00', 'UTC-3', 'b', 'aus', 'ned', 'Estádio Beira-Rio, Porto Alegre'
21, 'Thu Jun/19 13:00', 'UTC-3', 'c', 'col', 'civ', 'Estádio Nacional Mané Garrincha, Brasília'
22, 'Thu Jun/19 19:00', 'UTC-3', 'c', 'jpn', 'gre', 'Estádio das Dunas, Natal'
23, 'Thu Jun/19 16:00', 'UTC-3', 'd', 'uru', 'eng', 'Arena de São Paulo, São Paulo'
24, 'Fri Jun/20 13:00', 'UTC-3', 'd', 'ita', 'crc', 'Arena Pernambuco, Recife'
25, 'Fri Jun/20 16:00', 'UTC-3', 'e', 'sui', 'fra', 'Arena Fonte Nova, Salvador'
26, 'Fri Jun/20 19:00', 'UTC-3', 'e', 'hon', 'ecu', 'Arena da Baixada, Curitiba'
27, 'Sat Jun/21 13:00', 'UTC-3', 'f', 'arg', 'irn', 'Estádio Mineirão, Belo Horizonte'
28, 'Sat Jun/21 18:00', 'UTC-4', 'f', 'nga', 'bih', 'Arena Pantanal, Cuiabá'
29, 'Sat Jun/21 16:00', 'UTC-3', 'g', 'ger', 'gha', 'Fortaleza'
30, 'Sun Jun/22 18:00', 'UTC-4', 'g', 'usa', 'por', 'Manaus'
31, 'Sun Jun/22 13:00', 'UTC-3', 'h', 'bel', 'rus', 'Rio de Janeiro'
32, 'Sun Jun/22 16:00', 'UTC-3', 'h', 'kor', 'alg', 'Porto Alegre'
33, 'Mon Jun/23 17:00', 'UTC-3', 'a', 'cmr', 'bra', 'Brasília'
34, 'Mon Jun/23 17:00', 'UTC-3', 'a', 'cro', 'mex', 'Recife'
35, 'Mon Jun/23 13:00', 'UTC-3', 'b', 'aus', 'esp', 'Curitiba'
36, 'Mon Jun/23 13:00', 'UTC-3', 'b', 'ned', 'chi', 'São Paulo'
37, 'Tue Jun/24 16:00', 'UTC-4', 'c', 'jpn', 'col', 'Cuiabá'
38, 'Tue Jun/24 17:00', 'UTC-3', 'c', 'civ', 'gre', 'Fortaleza'
39, 'Tue Jun/24 13:00', 'UTC-3', 'd', 'ita', 'uru', 'Natal'
40, 'Tue Jun/24 13:00', 'UTC-3', 'd', 'crc', 'eng', 'Belo Horizonte'
41, 'Wed Jun/25 16:00', 'UTC-4', 'e', 'hon', 'sui', 'Manaus'
42, 'Wed Jun/25 17:00', 'UTC-3', 'e', 'ecu', 'fra', 'Rio de Janeiro'
43, 'Wed Jun/25 13:00', 'UTC-3', 'f', 'nga', 'arg', 'Porto Alegre'
44, 'Wed Jun/25 13:00', 'UTC-3', 'f', 'bih', 'irn', 'Salvador'
45, 'Thu Jun/26 13:00', 'UTC-3', 'g', 'usa', 'ger', 'Recife'
46, 'Thu Jun/26 13:00', 'UTC-3', 'g', 'por', 'gha', 'Brasília'
47, 'Thu Jun/26 17:00', 'UTC-3', 'h', 'kor', 'bel', 'São Paulo'
48, 'Thu Jun/26 17:00', 'UTC-3', 'h', 'alg', 'rus', 'Curitiba'
